-115;5655
-11;575
-1266;1556
-13;584
-15;586
-164;1551
-24;5087
-40;2047
-42;3536
-54;3470
-61;4558
-65;2807
-6;1096
-70;2067
-72;4055
0;3765,3792,3836,3857,3858,3860,3894,4005,4011,4017,4084,4087,4088,4093,4094,4095,4096,4098,4174,4293,4443,4489,4492,4499,4514,4613,4696,4727,4853,4882,4930,4931,4932,4933,4939,4940,4941,4944,4950,4954,4955,4958,4967,4968,4971,4972,4973,4974,4975,4976,4977,4978,4982,4983,4987,4988,4989,4990,4991,4993,4997,4998,4999,5002,5014,5024,5039,5091,5097,5146,5168,5199,5231,5258,5272,5283,5345,5348,5349,5350,5353,5354,5405,5423,5424,5442,5446,5545,5549,5551,5555,5560,5602,5629,5630,5631,5632,5636,5639,5644,5713,5723,5726,5787,5946,6063,6091,6150,6153,6315,6319,6331,6336,6349,6351,6360,6385,6398,6399,6449,6452,6514,6566,6574,6620,6687,6696,6713,6792,6809,6842,6845,6912,7065,7069,7087,7088,7092,7158,7159,7164,7165,7166,7167,7168,7176
1000;4438,6527,6737,6878
1001;6103
1002;3570,6535,6940
1003;3116,5663,5943
1004;287
1005;414,5418,6859
1007;4295,6879
1008;2970,3224,7123
1009;3408,5013
100;1476,1972,2102,2112,4360,4416,4533,5223,5327,5660,5947,7163,86
1010;274
1011;6253
1012;2919
1013;4316
1014;249,6078
1015;3553
1016;6537
1017;1360,5136
1019;3461,6624
101;1829,2035,2216,3068,3590,469,4855,5687,696
1020;2511,4454,837
1021;6178,6702,6858
1023;6846,7024
1024;4716,6969,809
1026;3242,3463
1027;240,4746,702,995
1028;4656,6339
1029;2929
102;1230,1839,1852,2100,2369,3071,360,4151,547,5641,6621,6876
1030;5171
1031;3988
1032;4914
1033;2853,5821,6837
1035;6043
1036;1606,336,3701
1037;244
103;1027,2172,3044,3063,3762,4173,5284,5324,5561,6712
1040;1001,4314,5694,6770
1041;1392,2858
1043;1564,1693,4315,4865
1044;4158
1045;1416
1046;344
1047;376
1048;6701,861
104;1672,2515,4203,5571
1050;1129,2130,2611,6522,6796,7002
10510;6448
1051;5791
1052;3613
1053;1983
1054;2803
1055;79
1056;2463
1057;3807,4199
1058;190,2893,346
105;1262,1368,2181,2321,2670,3048,313,3737,3881,6185,6190,6640,6659
1060;248,288,2939,6844
1061;5153,5757
1063;815,999
1065;3322
1066;6430,6903
1067;3368
10682;2933
1068;3447,6868
1069;4907
106;2176,2660,3936,6553
1070;2507,4301
1071;2788,6391
1072;5190
10761;4965
1076;1278
1077;4082,5817
1078;3620
1079;4278
107;1028,2985,3190,3603,3952,4083,4150,6115,6180
1082;3267,4144,4630,6657
1083;2714,4687,6784,6788,7005
1084;1389
1085;1131,3290
10860;2667
1086;3443,6100
1087;5771,6546
1088;2225,6720
1089;255
108;1734,2300,24,3177,35,5867,5933,6926,7095,803
1090;1292
1092;4206
1095;4148,4385,5848
1096;2574,6423
1098;3531
1099;269,3716,4431,6045,7091
109;1589,1965,3040,3421,3679,827
10;1052,1402,1677,1696,1700,1721,1731,1805,1832,1840,1872,1878,1883,19,1903,1918,1919,1922,1929,1931,2023,2157,2248,2251,2293,2302,2320,2479,2484,2603,2695,2696,2738,2768,3047,3057,3059,3067,3081,3115,3156,3179,3547,3610,3676,3791,3900,3931,3932,399,4015,4091,4107,4116,4237,4294,4480,4497,4538,4573,4628,4662,4674,4676,4761,4798,4803,4804,4813,4857,4905,4909,4929,5085,5236,5241,5380,5459,5525,5535,5536,5581,5589,5627,5638,5640,5731,620,642,6517,6518,6586,6771,6772,6773,6856,6981,927,966,967,968,969,970,971
11001;3914
1100;259,4216,4339
11034;2649
1106;1300,1394
1107;152
110;2389,2436,290,5130,55,5649,5923
1110;3980,5997,6226,7130,99
1112;357
11136;5445
1114;4195,5777
1115;1261,1565,4313
1119;5264,6825,699
111;1267,1706,1936,2101,2568,3094,3892,3960,4916
1120;6985
1121;3117
1122;1130
1123;258
1124;4272
1125;2356,4153,6939
1126;265
1127;2491
1129;180,6558
112;1216,1580,1850,2200,2311,3415,4970,5502,595,63,7,7077
11300;2645
11327;4010
1132;1289,390
1133;78
1135;3246
1136;5417
1139;5810
113;2647,2987,3164,3200,3419,5311,5684
1140;5720,6887,716
11414;2339
1141;132,2359
1142;1967
1144;64
1145;6994
1147;2403
1148;2516,2648,3667,5480,7050
114;3077,3877,576,5857,588
1150;3449,6089
1156;2770,3618
1157;6046
1158;2125,354,863
1159;3446,5673
115;1107,1414,2177,2653,3686,4428,4737,6035,6284
1160;6531
1161;4433,6006,6394
1162;6107
1165;2759,6611,6699
1166;3387
1168;6798
116;108,205,2272,3154,4046,6202
1170;184,5538
11713;3848
1171;1958,2352,6071
1174;2004
1175;3776,66
1178;5882,701
117;3165,5078,5208,542,561,68
1180;1445,5961
1181;4355
1182;5156
1185;3317
1187;1465
1188;1536
1189;3386,3539
118;145,1583,2262,2801,2968,448,4616,5489,7068,923
1190;3328
1192;3656
1194;4372
1195;5852
1197;733
1198;4305,6047
1199;4400
119;2244,3261,4182,4442,5005,5729,599,618
11;104,1193,1432,1571,17,1867,1884,1910,1915,2138,2156,2159,2466,2477,2501,2544,2754,2775,3090,3101,3398,3641,3847,3976,4099,4516,5381,5751,598,5991,6363,6445
1200;6573
1201;5165,5291
1202;767
1203;3136,3351
1204;6751
1206;1071,2027
1207;7052
1208;5429,5725,6462,866
120;2665,3034,3528,518
1211;5415,6850,90
1212;6067
1213;1207,5047
1214;1532,1812,254,5347,862
12152;2622
1215;176,42,6743
1216;6951
1217;4317,4383,4873
1219;3324
121;2173,3345,3640,3694,4159,4345,4576,4624,4858,511,6105,6406,6857,7031
1220;2297,6288,6862
1221;3456,4602
1224;2630,5783,6233,6725
1225;5572
1227;5479,820
1228;3863
122;1834,3065,348,5069
1230;1273,252
1231;6541
1232;5226
1233;4262
1234;621
1236;4920,707
1239;4025
123;1495,1937,2979,3079,4886,5113
12400;5711
1240;277
1242;149,5016
1243;3543
1245;717
1247;1019,1543,2539,327
1248;3996,5473
1249;1364,2617,5197,769
124;1323,1377,2202,5412,559
1250;4684,5080,5100,6545
1251;3538
1252;5564
1253;179,6249,6728,6836
12552;2650
1255;7122
1258;168
12591;6334
125;2764,2906,3212,3268,367,4484,4947,5647,5885,6262,909
1260;1239
1261;5820
1263;2471,2927,5160,5404
1265;1143,4201
1266;279,5346
1267;105,1491,6106,7157
1268;4047,743
126;1157,1894,3380,3677,4178,526,5712,6121,6580
1270;4188,6016,6221
1271;1359,3902
1273;1525,281,3203
1276;2139,347,6011
1277;3802,6054,6177
1278;1765
1279;6242
127;1440,2750,4033,6605
1280;1405,3038,3702
12816;5784
1283;6781
1284;1981,3963,5150
1287;4054
1288;4424
1289;3275
128;1505,2219,2355,4546,4942,5244,6029,6870,750
12913;2623
1291;1142,3259,3309
1295;3638
1297;3978
1299;394,5797,6382,6536
129;1153,153,2748,2839,2895,4325,737,738
12;1184,1217,1316,1429,1906,1913,2096,2274,2802,2901,2902,2993,3302,3691,3766,3823,3939,4110,4259,4625,4654,4910,5064,507,5217,5320,5379,5811,6039,6247,6342,6481,7041
1300;1233,5256,6027,6298,6532,6645
1301;6547
