a 511 airport;2266
a coruña airport;1186
aachen-merzbrück airport;3906
aalborg airport;620
aalen-heidenheim/elchingen airport;382
aarhus airport;600
aasiaat airport;3760
aba tenna dejazmach yilma international airport;1085
abaco i walker c airport;6517
abadan airport;2023
abaiang airport;5446
abakan airport;2797
abbeville;1334
abbotsford airport;174
abdul rachman saleh airport;3669
abeche airport;972
abeid amani karume international airport;1154
abel santamaria airport;1855
abemama atoll airport;5628
aberdeen dyce airport;527
aberdeen regional airport;4367
abha regional airport;1987
abilene regional airport;3498
abqaiq airport;1991
abraham gonzález international airport;1738
abraham lincoln capital airport;4038
abu dhabi international airport;2090
abu simbel airport;1097
abumusa island airport;2031
acadiana regional airport;3255
achinsk airport;6837
achmad yani airport;3676
ada municipal airport;6537
adak airport;4581
adamovka;6398
adana airport;1638
addis ababa bole international airport;1080
addison airport;5577
adelaide international airport;3132
adelaide parafield airport;3140
aden adde international airport;4342
aden international airport;3743
adi sumarmo wiryokusumo airport;3699
adi sutjipto international airport;3673
adirondack regional airport;4423
adnan menderes international airport;1657
adolf würth airport;394
adolfo suárez madrid–barajas airport;1194
adıyaman airport;4450
aek godang airport;3075
aeroclube airport;5677
aeropuerto \"general tomas de heres\". ciudad bolivar;2679
aerotortuguero airport;4474
afobakka airstrip;5447
afonso pena airport;2414
afutara aerodrome;5642
afyon airport;1640
agartala airport;2874
agatti airport;2953
agen-la garenne airport;1225
aggeneys airport;772
aghajari airport;2025
agra airport;2912
agrinion air base;1407
aguas claras airport;2595
aguenar – hadj bey akhamok airport;215
aguni airport;5599
ahe airport;4516
ahmed al jaber air base;7021
ahuas airport;4463
ahwaz airport;2030
aiken municipal airport;6119
ain arnat airport;5042
ain el beida airport;241
ain oussera airport;214
aioun el atrouss airport;1062
aire-sur-l'adour airport;1257
airport bamberg-breitenau;6901
aitutaki airport;1890
aix-en-provence (ba 114) airport;1309
ajaccio-napoléon bonaparte airport;1286
ak bashat airport;5545
ak-chin regional airport;6298
akanu ibiam international airport;262
akeno airport;6197
akhiok airport;5359
akhisar airport;1665
akiak airport;5393
akita airport;2243
aklavik/freddie carmichael airport;3967
akola airport;2833
akron canton regional airport;3863
akron fulton international airport;3368
aksu airport;4994
aktau airport;4063
aktion national airport;1432
aktobe airport;2767
akulivik airport;4180
akure airport;259
akureyri airport;11
akutan seaplane base;4727
akwa ibom international airport;6560
akıncı air base;1637
al ahsa airport;1988
al ain international airport;4563
al asad air base;3883
al badie airport;3749
al baha airport;1989
al dhafra air base;2094
al ghaidah international airport;3745
al hamra aux airport;2092
al maktoum international airport;5857
al massira airport;1038
al minhad air base;5760
al najaf international airport;5561
al qaisumah/hafr al batin airport;2004
al sahra army air field;7029
al taji army air field;7031
al taqaddum air base;3884
al udeid air base;5154
al wajh domestic airport;2021
al-jawf domestic airport;4551
alakanuk airport;5380
alalapadu airstrip;5448
alama iqbal international airport;2113
alamogordo white sands regional airport;4370
alashankou bole (bortala) airport;6836
albacete-los llanos airport;1178
albany airport;4825
albany international airport;3639
albert j ellis airport;4080
albert whitted airport;3329
albert-bray airport;1221
alberto alcolumbre airport;2458
alberto carnevalli airport;2702
alberto delgado airport;4484
albi-le séquestre airport;1247
albina airport;5449
albuquerque international sunport airport;3779
albury airport;3125
alcantarilla air base;1200
alcides fernández airport;5470
aldan airport;6457
alderney airport;493
alejandro velasco astete international airport;2667
aleknagik / new airport;4723
aleppo international airport;2139
alert airport;86
alert bay airport;6860
alessandria airport;6998
alexander bay airport;771
alexander field south wood county airport;6178
alexander the great international airport;1424
alexandra airport;1947
alexandria airport;1409
alexandria international airport;3627
alferez fap alfredo vladimir sara bauer airport;2636
alferez fap david figueroa fernandini airport;4666
alfonso bonilla aragon international airport;2576
alfonso lópez pumarejo airport;2615
alfredo vásquez cobo international airport;2588
alghero-fertilia airport;1475
ali air base;6672
ali al salem air base;6034
alicante international airport;1179
alice international airport;3355
alice springs airport;3112
aliwal north airport;6204
alkantpan copper airport;6205
allah valley airport;7040
allahabad airport;2913
allakaket airport;5158
alldays airport;6206
allegheny county airport;5564
allen army airfield;3259
allendorf/eder airport;354
alliance municipal airport;5296
allstedt airport;5841
alluitsup paa heliport;4118
alma airport;5411
almaty airport;2757
almaza air force base;6925
almería international airport;1180
almirante marco andres zar airport;2362
almirante padilla airport;2606
along airport;2873
alonso valderrama airport;4470
alpena county regional airport;4373
alpha airport;7122
alphonse airport;966
alpine casparis municipal airport;6619
alpnach air base;1622
